Ref,Val,Package,PosX,PosY,Rot,Side
"C806","10p","C0603",-2.010000,2.310000,0.000000,bottom
"C807","10p","C0603",-9.810000,2.310000,0.000000,bottom
"C808","10p","C0603",-17.610000,2.310000,0.000000,bottom
"C809","10p","C0603",-25.410000,2.310000,0.000000,bottom
"R806","36k","R_2512_6332Metric",-6.210000,7.947500,-90.000000,bottom
"R807","4.02k","R_1206_3216Metric",-5.810000,2.910000,0.000000,bottom
"R808","36k","R_2512_6332Metric",-14.010000,7.947500,-90.000000,bottom
"R809","4.02k","R_1206_3216Metric",-13.610000,2.910000,0.000000,bottom
"R810","36k","R_2512_6332Metric",-21.810000,7.947500,-90.000000,bottom
"R811","4.02k","R_1206_3216Metric",-21.410000,2.910000,0.000000,bottom
"R812","36k","R_2512_6332Metric",-29.610000,7.947500,-90.000000,bottom
"R813","4.02k","R_1206_3216Metric",-29.210000,2.910000,0.000000,bottom
"R814","DNP","R_2512_6332Metric",-2.310000,7.947500,-90.000000,bottom
"R815","DNP","R_2512_6332Metric",-10.110000,7.947500,-90.000000,bottom
"R816","DNP","R_2512_6332Metric",-17.910000,7.947500,-90.000000,bottom
"R817","DNP","R_2512_6332Metric",-25.710000,7.947500,-90.000000,bottom
"U801","MCZ33810EK","Mcz33810",-38.860000,6.310000,-90.000000,bottom
"C801","100n","C0603",38.660000,7.910000,-90.000000,top
"C802","10u","C_0805_2012Metric",36.960000,8.260000,90.000000,top
"C803","100p","C0603",34.960000,3.810000,0.000000,top
"C804","100n","C0603",38.960000,4.710000,90.000000,top
"C805","10u","C_0805_2012Metric",40.660000,4.460000,-90.000000,top
"M801","Module-mcz33810-0.1","mcz33810",0.010000,0.010000,0.000000,top
"Q801","ISL9V3040D3S","TO-252-2",3.890000,7.050000,90.000000,top
"Q802","ISL9V3040D3S","TO-252-2",11.690000,7.050000,90.000000,top
"Q803","ISL9V3040D3S","TO-252-2",19.490000,7.050000,90.000000,top
"Q804","ISL9V3040D3S","TO-252-2",27.290000,7.050000,90.000000,top
"R801","10k","R0603",39.960000,7.910000,-90.000000,top
"R802","10k","R0603",34.560000,7.710000,0.000000,top
"R803","100","R0603",34.960000,5.410000,180.000000,top
"R804","100","R0603",37.260000,4.710000,90.000000,top
"R805","0.02","Shunt_1206",34.910000,1.810000,0.000000,top
