"Comment","Designator","Footprint","LCSC Part #"
"100n","C801","hellen-one-common:C0603","C14663"
"10u","C802","Capacitor_SMD:C_0805_2012Metric","C440198"
"100p","C803","hellen-one-common:C0603","C14858"
"100n","C804","hellen-one-common:C0603","C14663"
"10u","C805","Capacitor_SMD:C_0805_2012Metric","C440198"
"10p","C806","hellen-one-common:C0603","C1634"
"10p","C807","hellen-one-common:C0603","C1634"
"10p","C808","hellen-one-common:C0603","C1634"
"10p","C809","hellen-one-common:C0603","C1634"
"Module-mcz33810-0.1","M801","hellen-one-mcz33810-0.1:mcz33810",""
"ISL9V3040D3S","Q801","Package_TO_SOT_SMD:TO-252-2","C462128"
"ISL9V3040D3S","Q802","Package_TO_SOT_SMD:TO-252-2","C462128"
"ISL9V3040D3S","Q803","Package_TO_SOT_SMD:TO-252-2","C462128"
"ISL9V3040D3S","Q804","Package_TO_SOT_SMD:TO-252-2","C462128"
"10k","R801","hellen-one-common:R0603","C25804"
"10k","R802","hellen-one-common:R0603","C25804"
"100","R803","hellen-one-common:R0603","C22775"
"100","R804","hellen-one-common:R0603","C22775"
"0.02","R805","kicad6-libraries:Shunt_1206","C728292"
"36k","R806","Resistor_SMD:R_2512_6332Metric","C474088"
"4.02k","R807","Resistor_SMD:R_1206_3216Metric","C274026"
"36k","R808","Resistor_SMD:R_2512_6332Metric","C474088"
"4.02k","R809","Resistor_SMD:R_1206_3216Metric","C274026"
"36k","R810","Resistor_SMD:R_2512_6332Metric","C474088"
"4.02k","R811","Resistor_SMD:R_1206_3216Metric","C274026"
"36k","R812","Resistor_SMD:R_2512_6332Metric","C474088"
"4.02k","R813","Resistor_SMD:R_1206_3216Metric","C274026"
"DNP","R814","Resistor_SMD:R_2512_6332Metric",""
"DNP","R815","Resistor_SMD:R_2512_6332Metric",""
"DNP","R816","Resistor_SMD:R_2512_6332Metric",""
"DNP","R817","Resistor_SMD:R_2512_6332Metric",""
"MCZ33810EK","U801","kicad6-libraries:Mcz33810","C3192631"
