Ref,Val,Package,PosX,PosY,Rot,Side
"C821","10u","C0805",-5.310008,1.210000,180.000000,bottom
"C822","10u","C0805",-5.310008,3.010000,180.000000,bottom
"C823","10u","C0805",-5.310008,4.810000,180.000000,bottom
"C824","10u","C0805",-5.310008,6.610000,180.000000,bottom
"C825","10u","C0805",-5.310008,8.410000,180.000000,bottom
"C826","10u","C0805",-9.110008,1.210000,0.000000,bottom
"C827","10u","C0805",-9.110008,3.010000,0.000000,bottom
"C828","10u","C0805",-9.110008,4.810000,0.000000,bottom
"C829","10u","C0805",-9.110008,6.610000,0.000000,bottom
"C830","10u","C0805",-9.110008,8.410000,0.000000,bottom
"C831","100n","C0603",-0.810000,2.510000,-90.000000,bottom
"C832","10n","C0603",-2.310000,2.510000,-90.000000,bottom
"C833","10n","C0603",-12.010008,1.985000,-90.000000,bottom
"R821","10k","R0603",-2.310000,5.510000,90.000000,bottom
"R822","4.7k","R0603",-2.310000,8.510000,-90.000000,bottom
"M821","Module-motor-driver-0.1","motor-driver",0.010000,0.010000,0.000000,top
"U821","TLE9201SG","Infineon_PG-DSO-12-11",7.210008,4.810000,0.000000,top
