"Comment","Designator","Footprint","LCSC Part #"
"10u","C821","hellen-one-common:C0805","C440198"
"10u","C822","hellen-one-common:C0805","C440198"
"10u","C823","hellen-one-common:C0805","C440198"
"10u","C824","hellen-one-common:C0805","C440198"
"10u","C825","hellen-one-common:C0805","C440198"
"10u","C826","hellen-one-common:C0805","C440198"
"10u","C827","hellen-one-common:C0805","C440198"
"10u","C828","hellen-one-common:C0805","C440198"
"10u","C829","hellen-one-common:C0805","C440198"
"10u","C830","hellen-one-common:C0805","C440198"
"100n","C831","hellen-one-common:C0603","C14663"
"10n","C832","hellen-one-common:C0603","C57112"
"10n","C833","hellen-one-common:C0603","C57112"
"Module-motor-driver-0.1","M821","hellen-one-motor-driver-0.1:motor-driver",""
"10k","R821","hellen-one-common:R0603","C25804"
"4.7k","R822","hellen-one-common:R0603","C23162"
"TLE9201SG","U821","Package_SO:Infineon_PG-DSO-12-11","C112633"
