Ref,Val,Package,PosX,PosY,Rot,Side
"J801","Conn_01x05_Pin","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",83.025126,3.000000,90.000000,top
"J802","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",3.025126,11.500000,90.000000,top
"J803","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",10.800126,37.590000,0.000000,top
"J804","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",61.175126,89.225000,0.000000,top
"J805","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",69.575126,89.225000,0.000000,top
"J806","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",10.800126,77.990000,0.000000,top
"J807","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",11.475126,89.225000,0.000000,top
"J808","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",19.875126,89.225000,0.000000,top
"J809","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",10.800126,69.590000,0.000000,top
"J810","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",77.975126,89.225000,0.000000,top
"J811","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",28.275126,89.225000,0.000000,top
"J812","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",86.750126,78.390000,0.000000,top
"J813","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",10.800126,61.190000,0.000000,top
"J814","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",86.375126,89.225000,0.000000,top
"J815","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",36.675126,89.225000,0.000000,top
"J816","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",10.800126,52.790000,0.000000,top
"M801","Module:uaefi/0.2","uaefi",0.000000,0.000000,0.000000,top
"P801","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",83.225126,24.000000,0.000000,top
"P802","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",83.225126,19.300000,0.000000,top
"P803","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",62.525126,2.500000,0.000000,top
"P804","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",62.525126,7.500000,0.000000,top
"P805","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",23.025126,11.000000,0.000000,top
"P806","RT-01T-1.0B","RT-01T-1.0B",9.300126,25.800000,0.000000,top
"P807","RT-01T-1.0B","RT-01T-1.0B",9.300126,30.000000,0.000000,top
"P808","RT-01T-1.0B","RT-01T-1.0B",9.300126,34.200000,0.000000,top
"P809","RT-01T-1.0B","RT-01T-1.0B",9.300126,38.400000,0.000000,top
