Ref,Val,Package,PosX,PosY,Rot,Side
"C751","1n","C_0402_1005Metric",8.550000,1.400000,-90.000000,top
"C752","470n","C_0402_1005Metric",14.805000,0.900000,0.000000,top
"C753","100n","C_0402_1005Metric",13.930000,2.900000,0.000000,top
"C754","100n","C_0402_1005Metric",17.450000,3.420000,90.000000,top
"C755","1u","C_0402_1005Metric",2.400000,13.800000,90.000000,top
"C756","10n","C_0402_1005Metric",1.050000,10.915000,-90.000000,top
"C757","10n","C_0402_1005Metric",8.530000,8.640000,-90.000000,top
"C758","1u","C_0402_1005Metric",8.550000,3.380000,-90.000000,top
"C759","100n","C_0402_1005Metric",14.470000,13.900000,180.000000,top
"C760","10n","C_0402_1005Metric",12.470000,11.900000,180.000000,top
"C761","1u","C_0402_1005Metric",8.887500,12.350000,0.000000,top
"C762","1u","C_0402_1005Metric",12.470000,12.900000,180.000000,top
"C763","1u","C_0402_1005Metric",6.950000,12.375000,180.000000,top
"C764","10n","C_0402_1005Metric",6.430000,10.915000,90.000000,top
"C765","1u","C_0402_1005Metric",2.050000,10.915000,90.000000,top
"C766","1u","C_0402_1005Metric",7.430000,10.915000,90.000000,top
"C767","1u","C_0402_1005Metric",9.970000,3.860000,180.000000,top
"D751","LED-GREEN-0603","LED_0603_1608Metric",12.950000,15.600000,180.000000,top
"M750","Module-vr-discrete-0.1","vr-discrete",0.000000,0.000000,0.000000,top
"R751","2.2k","R_0402_1005Metric",12.460000,13.900000,180.000000,top
"R752","10k","R_0805_2012Metric",2.112500,3.300000,0.000000,top
"R753","10k","R_0805_2012Metric",2.112500,1.300000,180.000000,top
"R754","12k","R_0402_1005Metric",16.735000,0.900000,180.000000,top
"R755","100k","R_0402_1005Metric",9.540000,2.410000,-90.000000,top
"R756","100k","R_0402_1005Metric",10.000000,0.900000,0.000000,top
"R757","10k","R_0402_1005Metric",12.900000,0.900000,0.000000,top
"R758","100k","R_0402_1005Metric",17.450000,5.510000,-90.000000,top
"R759","100k","R_0402_1005Metric",10.650000,9.810000,-90.000000,top
"R760","68k","R_0402_1005Metric",13.960000,1.900000,0.000000,top
"R761","10","R_0402_1005Metric",12.450000,2.390000,-90.000000,top
"R762","10k","R_0402_1005Metric",11.450000,2.400000,90.000000,top
"R763","10k","R_0402_1005Metric",15.940000,3.000000,180.000000,top
"R764","10","R_0402_1005Metric",16.500000,2.000000,0.000000,top
"R765","1k","R_0402_1005Metric",1.050000,12.900000,-90.000000,top
"R766","1k","R_0402_1005Metric",8.515000,10.900000,-90.000000,top
"R767","10k","R_0402_1005Metric",14.450000,11.900000,0.000000,top
"R768","10k","R_0402_1005Metric",14.440000,12.900000,180.000000,top
"R769","10","R_0402_1005Metric",15.950000,12.410000,90.000000,top
"U751","SRV05-4-P-T7","SOT-23-6",5.912500,2.150000,0.000000,top
"U752","74AHC1G02","SOT-23-5",5.050000,14.650000,0.000000,top
"U753","MCP6004","TSSOP-14_4.4x5mm_P0.65mm",13.950000,7.400000,-90.000000,top
"U754","MAX9142","SOIC-8_3.9x4.9mm_P1.27mm",4.155000,7.100000,0.000000,top
"U755","NC7SB3157P6X","SOT-363_SC-70-6",4.230000,11.435000,0.000000,top
"U756","NC7SB3157P6X","SOT-363_SC-70-6",9.480000,6.010000,90.000000,top
"U757","74AHC1G02","SOT-23-5",9.310000,14.650000,180.000000,top
