Comment,Designator,Footprint,LCSC Part #
"1n","C200, C202, C203, C216, C217, C218, C219","C0603","C1588"
"10n","C201, C208, C209, C210, C211","C0603","C57112"
"100n","C204, C205, C206, C207, C212, C213, C214, C215, C220, C221, C222, C223, C224, C225, C226","C0603","C14663"
"2.2u","C227, C228, C229","C0805","C49217"
"SRV05-4-P-T7","D200, D201, D202, D203, D204, D205","SOT23-6","C85364"
"P6SMB6.8CA","D206","SMB","C78395"
"Module:input/0.1","M200","",""
"4k7","R200, R201, R202, R203, R204, R205, R207","R0603-4","C1980"
"680k","R206, R209, R211","R0603-4","C145776"
"10k","R208, R210","R0603-4","C29718"
"510","R212, R213, R214, R215","R0603","C23193"
"3.3k","R216","R0603","C22978"
