Designator,Mid X,Mid Y,Layer,Rotation
M200,16.3650mm,7.3460mm,Top,0
C226,30.1000mm,2.2500mm,Top,270
R211,27.8000mm,2.3250mm,Top,0
R205,27.6750mm,5.8500mm,Top,0
D205,27.9500mm,8.8250mm,Top,270
C223,30.1250mm,12.7750mm,Top,270
C222,29.0250mm,12.7750mm,Top,270
C221,27.9250mm,12.7750mm,Top,270
C220,26.8250mm,12.7750mm,Top,270
C228,3.3750mm,0.9000mm,Top,180
R216,25.4750mm,2.4000mm,Top,90
C224,30.1000mm,5.6500mm,Top,90
D206,2.2000mm,11.1250mm,Top,270
C225,1.5000mm,4.7750mm,Top,180
C219,12.5250mm,12.7750mm,Top,270
C218,11.4250mm,12.7750mm,Top,270
C217,10.3250mm,12.7750mm,Top,270
C216,9.2250mm,12.7750mm,Top,270
C215,8.1250mm,12.7750mm,Top,270
C214,7.0250mm,12.7750mm,Top,270
C213,5.9250mm,12.7750mm,Top,270
C212,4.8250mm,12.7750mm,Top,270
C211,16.9250mm,12.7750mm,Top,270
C210,15.8250mm,12.7750mm,Top,270
C209,14.7250mm,12.7750mm,Top,270
C208,13.6250mm,12.7750mm,Top,270
C203,25.7250mm,12.7750mm,Top,270
C202,24.6250mm,12.7750mm,Top,270
C201,23.5250mm,12.7750mm,Top,270
C229,3.8500mm,6.3500mm,Top,90
C227,4.6500mm,3.2500mm,Top,270
R215,1.7000mm,7.0750mm,Top,360
R213,1.7000mm,5.9000mm,Top,180
R214,1.4500mm,2.4750mm,Top,360
R212,1.4500mm,3.6250mm,Top,0
C200,22.4250mm,12.7750mm,Top,270
C204,18.0250mm,12.7750mm,Top,270
C205,19.1250mm,12.7750mm,Top,270
C206,20.2250mm,12.7750mm,Top,270
C207,21.3250mm,12.7750mm,Top,270
D200,23.6500mm,8.8250mm,Top,270
D201,19.3500mm,8.8250mm,Top,270
D202,15.0500mm,8.8250mm,Top,270
D203,6.4500mm,8.8250mm,Top,270
D204,10.7500mm,8.8250mm,Top,270
R200,23.2500mm,5.8250mm,Top,0
R201,19.3750mm,5.8250mm,Top,0
R202,15.1250mm,5.8250mm,Top,0
R203,7.2000mm,5.8250mm,Top,0
R204,11.2500mm,5.8250mm,Top,0
R206,23.1750mm,2.3250mm,Top,0
R207,19.3750mm,2.3250mm,Top,0
R208,15.1000mm,2.3250mm,Top,0
R209,7.5750mm,2.3250mm,Top,0
R210,11.2750mm,2.3250mm,Top,0
