Designator,Mid X,Mid Y,Layer,Rotation
R132,27.2500mm,4.4250mm,Top,180
U101,42.6500mm,12.9000mm,Top,270
M101,23.2625mm,18.6750mm,Top,0
R131,18.5000mm,6.6500mm,Top,90
R130,6.3400mm,31.4698mm,Top,90
R129,2.3750mm,33.9500mm,Top,90
Y101,9.3000mm,26.8500mm,Top,270
C116,8.7750mm,25.0250mm,Top,180
C115,9.7750mm,29.4250mm,Top,270
C124,9.0750mm,13.7750mm,Top,360
R121,9.8000mm,15.9750mm,Top,90
R106,44.3500mm,32.8000mm,Top,270
J101,44.0500mm,26.6500mm,Top,270
C129,26.5000mm,7.0250mm,Top,360
C128,22.9500mm,7.0500mm,Top,180
C125,38.2250mm,9.9750mm,Top,360
C121,39.0250mm,18.1500mm,Top,90
C118,39.0000mm,23.4750mm,Top,90
C110,26.9750mm,36.0250mm,Top,180
C109,22.6250mm,36.0250mm,Top,180
C108,16.1000mm,36.0500mm,Top,360
C117,8.8000mm,23.9250mm,Top,360
U107,22.3000mm,3.3000mm,Top,90
U109,11.0500mm,3.3000mm,Top,90
R115,30.1000mm,5.9000mm,Top,270
R118,16.6000mm,2.2250mm,Top,0
R126,16.3000mm,5.0750mm,Top,180
R111,27.6199mm,2.1246mm,Top,270
C123,27.2500mm,5.9250mm,Top,180
C135,13.8000mm,7.0500mm,Top,180
R105,45.5250mm,34.9750mm,Top,270
R104,45.5250mm,32.4000mm,Top,90
R103,44.5500mm,30.5250mm,Top,360
R114,9.0750mm,12.6250mm,Top,180
U111,10.8250mm,7.5450mm,Top,90
U108,3.8750mm,23.4500mm,Top,90
U106,3.9250mm,3.3000mm,Top,90
U104,4.0000mm,12.0250mm,Top,90
R117,2.3500mm,27.4000mm,Top,0
R125,37.2750mm,7.2500mm,Top,0
R113,6.2500mm,27.4000mm,Top,0
R112,2.4500mm,7.4500mm,Top,0
R110,7.2000mm,7.4500mm,Top,0
R109,2.3250mm,15.9250mm,Top,0
R108,6.2000mm,15.9250mm,Top,0
R107,41.3000mm,7.1750mm,Top,0
C126,1.3750mm,19.1750mm,Top,90
C120,4.8250mm,7.5000mm,Top,270
C112,8.2750mm,10.6500mm,Top,90
C104,40.1750mm,17.6000mm,Top,90
C137,9.5000mm,10.6750mm,Top,90
D101,42.3500mm,31.3500mm,Top,90
C101,41.0000mm,24.1750mm,Top,180
R102,43.2250mm,35.1500mm,Top,90
R101,44.2000mm,2.9750mm,Top,0
D102,39.8250mm,26.8500mm,Top,90
Y102,6.5750mm,19.0750mm,Top,360
U103,39.7450mm,34.9500mm,Top,180
R124,44.7250mm,18.1000mm,Top,180
R120,39.0250mm,20.8250mm,Top,90
R119,44.2500mm,19.5000mm,Top,180
R122,29.6250mm,36.0750mm,Top,360
R123,36.2000mm,35.2500mm,Top,90
R116,41.1500mm,19.5500mm,Top,180
R127,37.4000mm,34.0250mm,Top,90
R128,20.2500mm,6.9250mm,Top,180
L101,44.0000mm,6.8750mm,Top,270
D106,45.3250mm,21.6000mm,Top,90
D105,40.6450mm,21.7750mm,Top,90
D107,12.4000mm,36.0250mm,Top,360
D104,43.7250mm,21.6000mm,Top,90
D103,42.1500mm,21.6250mm,Top,90
C140,11.4750mm,34.5000mm,Top,360
C132,8.3250mm,22.0250mm,Top,270
C136,3.1750mm,19.2000mm,Top,270
C127,33.2750mm,6.9000mm,Top,180
C139,40.9500mm,3.0750mm,Top,270
C138,39.8250mm,3.0750mm,Top,270
C111,33.7400mm,36.0200mm,Top,180
C130,16.5800mm,7.0750mm,Top,180
C131,31.0750mm,2.7000mm,Top,90
C122,8.5750mm,15.9500mm,Top,270
C114,40.0750mm,30.5500mm,Top,90
C119,9.4750mm,22.0250mm,Top,270
C103,42.0750mm,17.7500mm,Top,360
C113,38.9250mm,30.7500mm,Top,270
C102,45.5750mm,6.7000mm,Top,90
C106,39.7000mm,32.7000mm,Top,180
C105,42.0750mm,34.9500mm,Top,270
C107,40.4000mm,5.1000mm,Top,180
U105,24.4000mm,21.5500mm,Top,270
U102,35.5000mm,3.3000mm,Top,90
