Designator,Mid X,Mid Y,Layer,Rotation
F101,44.0500mm,6.4250mm,Top,270
R134,3.1000mm,30.5250mm,Top,270
R133,4.2750mm,30.5500mm,Top,270
C133,1.8741mm,30.6154mm,Top,90
R132,27.3500mm,4.4000mm,Top,180
M101,23.2625mm,18.6750mm,Top,0
R131,18.5000mm,6.6500mm,Top,90
U101,42.6500mm,12.9000mm,Top,270
R130,6.3400mm,31.7198mm,Top,90
R129,2.3750mm,33.9500mm,Top,90
Y101,9.8750mm,27.7250mm,Top,270
C116,9.3304mm,25.1500mm,Top,90
C115,9.9500mm,29.7250mm,Top,360
C124,9.0750mm,13.7750mm,Top,360
R121,9.8000mm,15.9750mm,Top,90
R106,44.3500mm,32.8000mm,Top,270
J101,44.0500mm,26.6500mm,Top,270
C129,29.5000mm,8.1500mm,Top,360
C128,22.9500mm,7.0750mm,Top,180
C121,39.1250mm,16.3250mm,Top,90
C118,37.5000mm,21.3750mm,Top,90
C110,27.0750mm,35.6250mm,Top,180
C109,22.4500mm,34.5000mm,Top,180
C108,15.4500mm,34.3000mm,Top,360
U107,22.3000mm,3.3000mm,Top,90
U109,11.0500mm,3.3000mm,Top,90
R115,30.2000mm,5.8750mm,Top,270
R118,16.6000mm,2.2250mm,Top,0
R126,16.3000mm,5.0750mm,Top,180
R111,27.6000mm,2.1000mm,Top,270
C123,27.2500mm,5.9500mm,Top,180
C135,13.8000mm,7.0500mm,Top,180
R105,45.5250mm,34.9750mm,Top,270
R104,45.5250mm,32.4000mm,Top,90
R103,44.5750mm,30.5250mm,Top,360
R114,9.0750mm,12.6250mm,Top,180
U111,10.8250mm,7.5450mm,Top,90
U108,3.8750mm,23.4500mm,Top,90
U106,3.9250mm,3.3000mm,Top,90
U104,4.0000mm,12.0250mm,Top,90
R117,2.3500mm,27.4000mm,Top,0
R125,37.2750mm,7.2500mm,Top,0
R113,6.2500mm,27.4000mm,Top,0
R112,2.4500mm,7.4500mm,Top,0
R110,7.2000mm,7.4500mm,Top,0
R109,2.3250mm,15.9250mm,Top,0
R108,6.2000mm,15.9250mm,Top,0
R107,41.3000mm,7.1750mm,Top,0
C126,1.3750mm,19.1750mm,Top,90
C120,4.8250mm,7.5000mm,Top,270
C112,8.2750mm,10.6500mm,Top,90
C104,40.2250mm,17.6000mm,Top,90
C137,9.5000mm,10.6750mm,Top,90
D101,41.9500mm,31.3500mm,Top,90
C101,41.0000mm,24.1750mm,Top,180
R102,43.2250mm,35.1500mm,Top,90
R101,44.1500mm,2.8500mm,Top,0
D102,39.8250mm,26.8500mm,Top,90
Y102,6.5750mm,19.0750mm,Top,360
U103,39.7450mm,34.9500mm,Top,180
R124,44.7500mm,18.1000mm,Top,180
R120,39.0000mm,20.5500mm,Top,270
R119,44.2500mm,19.5000mm,Top,180
R122,30.8379mm,35.7270mm,Top,360
R123,35.6933mm,35.5000mm,Top,270
R116,41.1500mm,19.5500mm,Top,180
R127,37.3750mm,34.2250mm,Top,90
R128,20.2500mm,6.9250mm,Top,180
D106,45.3250mm,21.6000mm,Top,90
D105,40.4450mm,21.6750mm,Top,90
D107,12.4000mm,36.0250mm,Top,360
D104,43.7250mm,21.6000mm,Top,90
D103,41.9000mm,21.6250mm,Top,90
C140,11.4750mm,34.4000mm,Top,360
C132,8.3250mm,22.0250mm,Top,270
C136,3.1750mm,19.2000mm,Top,270
C127,33.5500mm,8.1750mm,Top,180
C139,40.9500mm,3.0750mm,Top,270
C138,39.8250mm,3.0750mm,Top,270
C130,16.5800mm,7.0750mm,Top,180
C131,31.0750mm,2.7000mm,Top,90
C122,8.5750mm,15.9500mm,Top,270
C114,39.6750mm,30.5500mm,Top,90
C119,9.4750mm,22.0250mm,Top,270
C103,42.1250mm,17.7500mm,Top,360
C113,38.0000mm,30.8250mm,Top,270
C102,45.6250mm,6.7000mm,Top,90
C106,39.7000mm,32.7000mm,Top,180
C105,42.0750mm,34.9500mm,Top,270
C107,40.4000mm,5.1000mm,Top,180
U105,24.4000mm,21.5500mm,Top,270
U102,35.5000mm,3.3000mm,Top,90
