Comment,Designator,Footprint,LCSC Part #
"100n","C801","C0603","C14663"
"10u","C802","C0805","C440198"
"100p","C803","C0603","C14858"
"100n","C804","C0603","C14663"
"10u","C805","C0805","C440198"
"10p","C806","C0603","C1634"
"10p","C807","C0603","C1634"
"10p","C808","C0603","C1634"
"10p","C809","C0603","C1634"
"Module:mcz33810/0.1","M801","mcz33810",""
"ISL9V3040D3S","Q801","DPAK","C462128"
"ISL9V3040D3S","Q802","DPAK","C462128"
"ISL9V3040D3S","Q803","DPAK","C462128"
"ISL9V3040D3S","Q804","DPAK","C462128"
"10k","R801","R0603","C25804"
"10k","R802","R0603","C25804"
"100","R803","R0603","C22775"
"100","R804","R0603","C22775"
"0.02","R805","Shunt_1206","C728292"
"36k","R806","R2512","C474088"
"4.02k","R807","R1206","C274026"
"36k","R808","R2512","C474088"
"4.02k","R809","R1206","C274026"
"36k","R810","R2512","C474088"
"4.02k","R811","R1206","C274026"
"36k","R812","R2512","C474088"
"4.02k","R813","R1206","C274026"
"DNP","R814","R2512",""
"DNP","R815","R2512",""
"DNP","R816","R2512",""
"DNP","R817","R2512",""
"MCZ33810EK","U801","Mcz33810","C3192631"
