Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C806,2.0mm,2.300000mm,Bottom,0.0,2.0mm,2.300000mm
C807,9.8mm,2.300000mm,Bottom,0.0,9.8mm,2.300000mm
C808,17.6mm,2.300000mm,Bottom,0.0,17.6mm,2.300000mm
C809,25.4mm,2.300000mm,Bottom,0.0,25.4mm,2.300000mm
R806,6.2mm,7.937500mm,Bottom,-90.0,6.2mm,7.937500mm
R807,5.8mm,2.900000mm,Bottom,0.0,5.8mm,2.900000mm
R808,14.0mm,7.937500mm,Bottom,-90.0,14.0mm,7.937500mm
R809,13.6mm,2.900000mm,Bottom,0.0,13.6mm,2.900000mm
R810,21.8mm,7.937500mm,Bottom,-90.0,21.8mm,7.937500mm
R811,21.4mm,2.900000mm,Bottom,0.0,21.4mm,2.900000mm
R812,29.6mm,7.937500mm,Bottom,-90.0,29.6mm,7.937500mm
R813,29.2mm,2.900000mm,Bottom,0.0,29.2mm,2.900000mm
R814,2.3mm,7.937500mm,Bottom,-90.0,2.3mm,7.937500mm
R815,10.1mm,7.937500mm,Bottom,-90.0,10.1mm,7.937500mm
R816,17.9mm,7.937500mm,Bottom,-90.0,17.9mm,7.937500mm
R817,25.7mm,7.937500mm,Bottom,-90.0,25.7mm,7.937500mm
U801,38.85mm,6.300000mm,Bottom,-90.0,38.85mm,6.300000mm
C801,38.650000mm,7.900000mm,Top,-90.0,38.650000mm,7.900000mm
C802,36.950000mm,8.250000mm,Top,90.0,36.950000mm,8.250000mm
C803,34.950000mm,3.800000mm,Top,0.0,34.950000mm,3.800000mm
C804,38.950000mm,4.700000mm,Top,90.0,38.950000mm,4.700000mm
C805,40.650000mm,4.450000mm,Top,-90.0,40.650000mm,4.450000mm
M801,0.000000mm,0.000000mm,Top,0.0,0.000000mm,0.000000mm
Q801,3.880000mm,7.040000mm,Top,270.0,3.880000mm,7.040000mm
Q802,11.680000mm,7.040000mm,Top,270.0,11.680000mm,7.040000mm
Q803,19.480000mm,7.040000mm,Top,270.0,19.480000mm,7.040000mm
Q804,27.280000mm,7.040000mm,Top,270.0,27.280000mm,7.040000mm
R801,39.950000mm,7.900000mm,Top,-90.0,39.950000mm,7.900000mm
R802,34.550000mm,7.700000mm,Top,0.0,34.550000mm,7.700000mm
R803,34.950000mm,5.400000mm,Top,180.0,34.950000mm,5.400000mm
R804,37.250000mm,4.700000mm,Top,90.0,37.250000mm,4.700000mm
R805,34.900000mm,1.800000mm,Top,0.0,34.900000mm,1.800000mm
