Altium Designer Pick and Place Locations
C:\Work\rusefi\github\hellen-private\!release\modules\hellen1-mega-mcu144\jlc-0.1\mega-mcu144-altium-CPL.csv

========================================================================================================================
File Design Information:

Date:       01.12.22
Time:       21:48
Revision:   cacda91cc45296b51808e5c1a19cf02404eedbcb
Variant:    jlc-0.1
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","PackageReference"
"R107","28.5750mm","8.4000mm","TopLayer","90","R0402"
"D108","33.4250mm","6.0500mm","TopLayer","270","LED-0603"
"C233","7.3999mm","34.4000mm","BottomLayer","90","C0402"
"U1002","29.9000mm","5.9000mm","TopLayer","270",""
"U1001","2.6999mm","2.9000mm","BottomLayer","0","LGA12"
"C1003","32.1000mm","6.1000mm","TopLayer","270","C0402"
"C1002","4.5999mm","3.3000mm","BottomLayer","90","C0402"
"M1000","21.1500mm","20.0500mm","TopLayer","180",""
"VD493","2.6999mm","20.7750mm","BottomLayer","90",""
"VD492","2.4999mm","24.5583mm","BottomLayer","90",""
"VD491","2.4999mm","28.3417mm","BottomLayer","90",""
"VD490","2.4999mm","32.1250mm","BottomLayer","90",""
"U491","2.4000mm","32.5000mm","TopLayer","270","SOT-363"
"U490","2.4000mm","28.6000mm","TopLayer","270","SOT-363"
"U460","35.9199mm","19.4750mm","BottomLayer","180","TSSOP24"
"U430","38.1999mm","12.3995mm","TopLayer","0","SO8"
"U285","33.5000mm","31.3000mm","TopLayer","180",""
"U280","30.4000mm","31.3000mm","TopLayer","0",""
"U275","39.8000mm","31.3000mm","TopLayer","180",""
"U270","36.7000mm","31.3000mm","TopLayer","0",""
"U195","31.0000mm","27.0500mm","TopLayer","0","TSSOP14"
"U190","13.0000mm","28.9500mm","TopLayer","90","TSSOP14"
"U185","38.1000mm","27.0500mm","TopLayer","0","TSSOP14"
"U180","18.8000mm","28.9500mm","TopLayer","90","TSSOP14"
"U175","24.6000mm","28.9500mm","TopLayer","90","TSSOP14"
"U170","7.2000mm","28.9500mm","TopLayer","90","TSSOP14"
"S1001","2.0000mm","10.2000mm","TopLayer","270","SMD-2_2.9x3.9x1.7"
"S1000","2.0000mm","16.1000mm","TopLayer","90","SMD-2_2.9x3.9x1.7"
"R498","3.2999mm","35.8000mm","BottomLayer","270","R0603-4"
"R469","40.8000mm","22.2500mm","BottomLayer","0","R0402"
"R468","40.8000mm","21.2000mm","BottomLayer","0","R0402"
"R467","40.8000mm","15.9500mm","BottomLayer","0","R0402"
"R466","40.8000mm","18.0500mm","BottomLayer","0","R0402"
"R464","40.8000mm","17.0000mm","BottomLayer","0","R0402"
"R463","40.8000mm","19.1000mm","BottomLayer","0","R0402"
"R462","40.8000mm","20.1500mm","BottomLayer","0","R0402"
"R461","40.8000mm","23.3000mm","BottomLayer","0","R0402"
"R450","4.0000mm","13.2000mm","BottomLayer","90","R0603"
"R430","41.1000mm","12.4000mm","BottomLayer","270","R0603"
"R258","5.8999mm","36.4000mm","BottomLayer","90","R0402"
"R255","41.1000mm","37.7000mm","BottomLayer","90","R0402"
"R256","5.8999mm","34.4000mm","BottomLayer","270","R0402"
"R254","41.1000mm","35.7500mm","TopLayer","90","R0402"
"R257","9.2000mm","37.2500mm","BottomLayer","270","R0603-4"
"R245","14.0000mm","37.2500mm","BottomLayer","270","R0603-4"
"R236","18.7999mm","37.2500mm","BottomLayer","270","R0603-4"
"R227","23.6000mm","37.2500mm","BottomLayer","270","R0603-4"
"R209","33.2000mm","37.2500mm","BottomLayer","270","R0603-4"
"R200","37.9999mm","37.2500mm","BottomLayer","270","R0603-4"
"R197","31.0000mm","25.6000mm","BottomLayer","90","R0603-4"
"R196","31.0000mm","28.5000mm","BottomLayer","270","R0603-4"
"R195","28.1499mm","29.0000mm","BottomLayer","90","R0402"
"R191","14.4500mm","28.9500mm","BottomLayer","180","R0603-4"
"R190","11.5499mm","28.9500mm","BottomLayer","0","R0603-4"
"R186","38.1000mm","25.6000mm","BottomLayer","90","R0603-4"
"R185","38.1000mm","28.5000mm","BottomLayer","270","R0603-4"
"R181","20.2500mm","28.9500mm","BottomLayer","180","R0603-4"
"R180","17.3499mm","28.9500mm","BottomLayer","0","R0603-4"
"R176","26.0499mm","28.9500mm","BottomLayer","180","R0603-4"
"R175","23.1499mm","28.9500mm","BottomLayer","0","R0603-4"
"R171","8.6500mm","28.9500mm","BottomLayer","180","R0603-4"
"R170","5.7500mm","28.9500mm","BottomLayer","0","R0603-4"
"R497","1.5000mm","38.3000mm","TopLayer","90","R0402"
"R496","2.7000mm","38.3000mm","TopLayer","90","R0402"
"R495","3.9000mm","38.3000mm","TopLayer","90","R0402"
"R494","5.1000mm","38.3000mm","TopLayer","90","R0402"
"R493","1.5000mm","37.3000mm","TopLayer","270","R0402"
"R492","2.7000mm","37.3000mm","TopLayer","270","R0402"
"R491","3.9000mm","37.3000mm","TopLayer","270","R0402"
"R490","5.1000mm","37.3000mm","TopLayer","270","R0402"
"R65","40.4000mm","21.4000mm","TopLayer","0","R0603-4"
"R64","40.4000mm","17.3000mm","TopLayer","0","R0603-4"
"R266","7.4000mm","38.3000mm","TopLayer","90","R0402"
"R265","8.6000mm","38.3000mm","TopLayer","90","R0402"
"R264","9.8000mm","38.3000mm","TopLayer","90","R0402"
"R263","11.0000mm","38.3000mm","TopLayer","90","R0402"
"R262","7.4000mm","37.3000mm","TopLayer","270","R0402"
"R261","8.6000mm","37.3000mm","TopLayer","270","R0402"
"R260","9.8000mm","37.3000mm","TopLayer","270","R0402"
"R259","11.0000mm","37.3000mm","TopLayer","270","R0402"
"R253","12.2000mm","38.3000mm","TopLayer","270","R0402"
"R252","13.4000mm","38.3000mm","TopLayer","270","R0402"
"R251","14.6000mm","38.3000mm","TopLayer","270","R0402"
"R250","15.8000mm","38.3000mm","TopLayer","270","R0402"
"R249","12.2000mm","37.3000mm","TopLayer","90","R0402"
"R248","13.4000mm","37.3000mm","TopLayer","90","R0402"
"R247","14.6000mm","37.3000mm","TopLayer","90","R0402"
"R246","15.8000mm","37.3000mm","TopLayer","90","R0402"
"R244","17.0000mm","38.3000mm","TopLayer","90","R0402"
"R243","18.2000mm","38.3000mm","TopLayer","90","R0402"
"R242","19.4000mm","38.3000mm","TopLayer","90","R0402"
"R241","20.6000mm","38.3000mm","TopLayer","90","R0402"
"R240","17.0000mm","37.3000mm","TopLayer","270","R0402"
"R239","18.2000mm","37.3000mm","TopLayer","270","R0402"
"R238","19.4000mm","37.3000mm","TopLayer","270","R0402"
"R237","20.6000mm","37.3000mm","TopLayer","270","R0402"
"R235","21.8000mm","38.3000mm","TopLayer","270","R0402"
"R234","23.0000mm","38.3000mm","TopLayer","270","R0402"
"R233","24.2000mm","38.3000mm","TopLayer","270","R0402"
"R232","25.4000mm","38.3000mm","TopLayer","270","R0402"
"R231","21.8000mm","37.3000mm","TopLayer","90","R0402"
"R230","23.0000mm","37.3000mm","TopLayer","90","R0402"
"R229","24.2000mm","37.3000mm","TopLayer","90","R0402"
"R228","25.4000mm","37.3000mm","TopLayer","90","R0402"
"R226","26.6000mm","38.3000mm","TopLayer","90","R0402"
"R225","27.8000mm","38.3000mm","TopLayer","90","R0402"
"R224","29.0000mm","38.3000mm","TopLayer","90","R0402"
"R223","30.2000mm","38.3000mm","TopLayer","90","R0402"
"R222","26.6000mm","37.3000mm","TopLayer","270","R0402"
"R221","27.8000mm","37.3000mm","TopLayer","270","R0402"
"R220","29.0000mm","37.3000mm","TopLayer","270","R0402"
"R219","30.2000mm","37.3000mm","TopLayer","270","R0402"
"R218","28.4000mm","37.2500mm","BottomLayer","270","R0603-4"
"R217","31.4000mm","38.3000mm","TopLayer","90","R0402"
"R216","32.6000mm","38.3000mm","TopLayer","90","R0402"
"R215","33.8000mm","38.3000mm","TopLayer","90","R0402"
"R214","35.0000mm","38.3000mm","TopLayer","90","R0402"
"R213","31.3700mm","37.3000mm","TopLayer","270","R0402"
"R212","32.6000mm","37.3000mm","TopLayer","270","R0402"
"R211","33.8000mm","37.3000mm","TopLayer","270","R0402"
"R210","35.0000mm","37.3000mm","TopLayer","270","R0402"
"R208","36.2000mm","38.3000mm","TopLayer","90","R0402"
"R207","37.4000mm","38.3000mm","TopLayer","90","R0402"
"R206","38.6000mm","38.3000mm","TopLayer","90","R0402"
"R205","39.8000mm","38.3000mm","TopLayer","90","R0402"
"R204","36.2000mm","37.3000mm","TopLayer","270","R0402"
"R203","37.4000mm","37.3000mm","TopLayer","270","R0402"
"R202","38.6000mm","37.3000mm","TopLayer","270","R0402"
"R201","39.8000mm","37.3000mm","TopLayer","270","R0402"
"R1000","29.8999mm","32.9000mm","BottomLayer","180","R0402"
"P1047","18.4000mm","24.5000mm","TopLayer","90",""
"P1046","27.1000mm","24.3000mm","TopLayer","90",""
"P1045","22.8000mm","24.6000mm","TopLayer","90",""
