Comment,Designator,Footprint,LCSC Part #
"10u","C821","C0805","C440198"
"10u","C822","C0805","C440198"
"10u","C823","C0805","C440198"
"10u","C824","C0805","C440198"
"10u","C825","C0805","C440198"
"10u","C826","C0805","C440198"
"10u","C827","C0805","C440198"
"10u","C828","C0805","C440198"
"10u","C829","C0805","C440198"
"10u","C830","C0805","C440198"
"100n","C831","C0603","C14663"
"10n","C832","C0603","C57112"
"10n","C833","C0603","C57112"
"Module:motor-driver/0.1","M821","motor-driver",""
"10k","R821","R0603","C25804"
"4.7k","R822","R0603","C23162"
"TLE9201SG","U821","Infineon_PG-DSO-12-11","C112633"
