Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C821,5.310008mm,1.210000mm,Bottom,180.0,5.310008mm,1.210000mm
C822,5.310008mm,3.010000mm,Bottom,180.0,5.310008mm,3.010000mm
C823,5.310008mm,4.810000mm,Bottom,180.0,5.310008mm,4.810000mm
C824,5.310008mm,6.610000mm,Bottom,180.0,5.310008mm,6.610000mm
C825,5.310008mm,8.410000mm,Bottom,180.0,5.310008mm,8.410000mm
C826,9.110008mm,1.210000mm,Bottom,0.0,9.110008mm,1.210000mm
C827,9.110008mm,3.010000mm,Bottom,0.0,9.110008mm,3.010000mm
C828,9.110008mm,4.810000mm,Bottom,0.0,9.110008mm,4.810000mm
C829,9.110008mm,6.610000mm,Bottom,0.0,9.110008mm,6.610000mm
C830,9.110008mm,8.410000mm,Bottom,0.0,9.110008mm,8.410000mm
C831,0.81mm,2.510000mm,Bottom,-90.0,0.81mm,2.510000mm
C832,2.31mm,2.510000mm,Bottom,-90.0,2.31mm,2.510000mm
C833,12.010008mm,1.985000mm,Bottom,-90.0,12.010008mm,1.985000mm
R821,2.31mm,5.510000mm,Bottom,90.0,2.31mm,5.510000mm
R822,2.31mm,8.510000mm,Bottom,-90.0,2.31mm,8.510000mm
M821,0.010000mm,0.010000mm,Top,0.0,0.010000mm,0.010000mm
U821,7.210008mm,4.810000mm,Top,0.0,7.210008mm,4.810000mm
