Comment,Designator,Footprint,LCSC Part #
"10u","C300, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313","C0805","C15850"
"B5819W","D300, D301, D302, D303","SOD-123","C8598"
"PSM712-LF","D304, D305","SOT-23","C32677"
"SMD1206P050TF/24","F300","SMD1206","C209741"
"Module:output/0.1","M300","",""
"AO3401A","Q300, Q301, Q302, Q303, Q304","SOT-23","C15127"
"AUIPS2041LTR","Q305, Q306, Q307, Q308, Q309, Q310, Q311, Q312","SOT-223","C113610"
"AO3400A","Q313","SOT-23","C344010"
"10k","R300, R301","R0603","C25804"
"4.7k","R302, R303, R307, R308, R313","R0603","C23162"
"10k","R304, R305, R306","R0603-4","C29718"
"0","R309, R310","R0603","C21189"
"0.1","R314","R1206","C25334"
"RZ7899","U300, U303","SO8","C92373"
"ULN2003AD","U301, U304","SOIC16","C7512"
"TC4427","U302","SO8","C20551"
