Designator,Mid X,Mid Y,Layer,Rotation
M410,8.5000mm,10.4000mm,TopLayer,0
R428,15.6844mm,5.2545mm,BottomLayer,90
R427,2.5500mm,3.9000mm,BottomLayer,0
R426,14.0758mm,4.2599mm,TopLayer,270
R425,12.7677mm,11.3750mm,TopLayer,90
R424,12.7677mm,13.6721mm,TopLayer,270
LED4,1.0081mm,3.0111mm,TopLayer,270
LED3,14.0758mm,6.4092mm,TopLayer,90
LED2,13.8491mm,11.4000mm,TopLayer,90
LED1,13.8491mm,13.6471mm,TopLayer,270
R422,6.8584mm,2.9000mm,BottomLayer,180
C426,13.0900mm,8.3000mm,TopLayer,0
C425,10.4000mm,8.3000mm,TopLayer,180
F410,7.5570mm,16.5668mm,TopLayer,0
C415,12.7234mm,2.6000mm,BottomLayer,0
C414,11.7484mm,12.1100mm,BottomLayer,180
U411,10.3222mm,7.2500mm,BottomLayer,90
D410,3.2000mm,16.2668mm,BottomLayer,180
R411,3.2984mm,19.1668mm,BottomLayer,270
D417,5.9484mm,19.4000mm,BottomLayer,180
C410,11.1930mm,17.4600mm,BottomLayer,180
D412,6.8500mm,20.0168mm,TopLayer,180
R410,4.0734mm,20.0500mm,TopLayer,0
D413,6.8500mm,18.3918mm,TopLayer,180
C411,5.9234mm,17.6000mm,BottomLayer,0
R413,5.9234mm,16.0668mm,BottomLayer,0
D414,3.4000mm,17.6000mm,BottomLayer,0
D418,7.1300mm,12.4000mm,TopLayer,0
D416,12.0016mm,16.4937mm,TopLayer,180
U410,11.5984mm,19.1000mm,TopLayer,0
C412,11.1930mm,19.5000mm,BottomLayer,180
C413,9.2234mm,18.6629mm,TopLayer,90
D411,3.5484mm,17.5915mm,TopLayer,180
U420,4.4634mm,8.4918mm,BottomLayer,270
R420,8.5734mm,16.9169mm,BottomLayer,90
C429,6.7584mm,3.9000mm,BottomLayer,0
C427,7.4797mm,17.1019mm,BottomLayer,270
C428,4.5693mm,3.9000mm,BottomLayer,180
C423,5.3966mm,13.9918mm,BottomLayer,90
C421,6.5882mm,13.9918mm,BottomLayer,90
C422,7.7797mm,13.9918mm,BottomLayer,90
C424,4.2000mm,13.9918mm,BottomLayer,270
R421,7.9547mm,12.2300mm,BottomLayer,0
R423,4.6693mm,2.9000mm,BottomLayer,180
D420,6.2000mm,1.9000mm,TopLayer,0
C420,3.1500mm,14.4000mm,BottomLayer,270
L420,11.1000mm,14.3000mm,BottomLayer,180
D421,11.4500mm,3.9392mm,TopLayer,270
L421,5.7000mm,6.5000mm,TopLayer,0
