Designator,Mid X,Mid Y,Layer,Rotation
M420,19.9100mm,3.7375mm,Top,0
C422,17.9250mm,4.9500mm,Top,90
C425,21.7750mm,5.2750mm,Top,90
C423,19.4250mm,2.0750mm,Top,360
C424,19.6250mm,5.2750mm,Top,90
C420,37.1250mm,3.4250mm,Top,90
R422,38.7313mm,4.9750mm,Top,90
R421,22.1750mm,1.8500mm,Top,270
R420,38.7250mm,2.4250mm,Top,90
D421,35.8501mm,6.3500mm,Top,360
C421,32.3250mm,2.8750mm,Top,90
L421,27.1250mm,3.7250mm,Top,180
U420,34.6000mm,3.6250mm,Top,270
D420,2.0500mm,3.7000mm,Top,90
C426,6.4250mm,1.8000mm,Top,360
C427,7.4750mm,5.0750mm,Top,90
C428,5.2750mm,5.0750mm,Top,90
L420,12.9000mm,3.7250mm,Top,180
