Comment,Designator,Footprint,LCSC Part #
"100n","C420","C0603","C14663"
"10u","C421, C422, C423, C424","C1206","C13585"
"10u","C425, C426","C0805","C15850"
"4.7u","C427","C0603","C19666"
"10n","C428","C0603","C57112"
"220p","C429","C0603","C1603"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421","SMB","C78395"
"2.2uH","L420","L1210","C36828"
"MWSA0503-10uH","L421","MWSA0503","C139506"
"Module:power5/0.1","M420","",""
"1","R420","R0603","C22936"
"36k","R421","R0603","C23147"
"68k","R422","R0603","C23231"
"12k","R423","R0603","C22790"
"LMR14020","U420","SOP8","C187824"
