Comment,Designator,Footprint,LCSC Part #
"47u","C410, C412","C1206","C96123"
"100n","C411, C413, C420","C0402","C307331"
"1u","C414, C415","C0402","C52923"
"10u","C421, C422, C423, C424, C425, C426","C0603","C96446"
"4.7u","C427","C0603","C19666"
"10n","C428","C0402","C15195"
"220p","C429","C0402","C1530"
"1N4148WS","D410, D412, D413, D414","SOD-323","C2128"
"PSM712-LF","D411","SOT-23","C32677"
"B5819W","D416, D417","SOD-123","C8598"
"SMCJ30A","D418","SMC","C310046"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421","SMB","C78395"
"SMD1206P050TF/24","F410","SMD1206","C209741"
"2.2uH","L420","L1210","C36828"
"MWSA0503-10uH","L421","MWSA0503","C139506"
"MHT136UGCT","LED1, LED2, LED3, LED4","LED0402","C434447"
"Hellen One : Power-Module interface","M410","",""
"6.8k","R410, R413","R0402","C25917"
"33k","R411","R0402","C25779"
"1","R420","R0402","C25086"
"10k","R421","R0402","C25744"
"68k","R422","R0402","C36871"
"12k","R423","R0402","C25752"
"4.7k","R424, R425, R428","R0402","C25900"
"1k","R426, R427","R0402","C11702"
"MIC5205-3.3YM5","U410","SOT23-5","C37970"
"TLS115","U411","PG-DSO-8 EP","C540242"
"LMR14020","U420","SOP8","C187824"
