Comment,Designator,Footprint,LCSC Part #
"Conn_01x05_Male","J801","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical","C492404"
"Conn_01x03_Pin","J802","PinHeader_1x03_P2.54mm_Vertical","C49257"
"Conn_02x02_Odd_Even","J803","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J804","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J805","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J806","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J807","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J808","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J809","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J810","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J811","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J812","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J813","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J814","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J815","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_02x02_Odd_Even","J816","PinHeader_2x02_P2.54mm_Vertical",""
"uaefi","M801","uaefi",""
"Conn_01x01_Pin","P801","PinHeader_1x01_P2.54mm_Vertical","C81276"
"Conn_01x01_Pin","P802","PinHeader_1x01_P2.54mm_Vertical","C81276"
"Conn_01x01_Pin","P803","PinHeader_1x01_P2.54mm_Vertical","C81276"
"Conn_01x01_Pin","P804","PinHeader_1x01_P2.54mm_Vertical","C81276"
"Conn_01x01_Pin","P805","PinHeader_1x01_P2.54mm_Vertical","C81276"
"~","P806","JST RT-01T-1.0B","C265321"
"~","P807","JST RT-01T-1.0B","C265321"
"~","P808","JST RT-01T-1.0B","C265321"
"~","P809","JST RT-01T-1.0B","C265321"
"~","P810","JST RT-01T-1.0B","C265321"
"~","P811","JST RT-01T-1.0B","C265321"
"~","P812","JST RT-01T-1.0B","C265321"
"~","P813","JST RT-01T-1.0B","C265321"
"~","P814","JST RT-01T-1.0B","C265321"
"~","P815","JST RT-01T-1.0B","C265321"
"~","P816","JST RT-01T-1.0B","C265321"
"~","P817","JST RT-01T-1.0B","C265321"
"~","P818","JST RT-01T-1.0B","C265321"
"~","P819","JST RT-01T-1.0B","C265321"
"~","P820","JST RT-01T-1.0B","C265321"
"~","P821","JST RT-01T-1.0B","C265321"
"~","P822","JST RT-01T-1.0B","C265321"
"~","P823","JST RT-01T-1.0B","C265321"
"~","P824","JST RT-01T-1.0B","C265321"
"~","P825","JST RT-01T-1.0B","C265321"
"~","P826","JST RT-01T-1.0B","C265321"
"~","P827","JST RT-01T-1.0B","C265321"
"~","P828","JST RT-01T-1.0B","C265321"
"~","P829","JST RT-01T-1.0B","C265321"
"~","P830","JST RT-01T-1.0B","C265321"
"~","P831","JST RT-01T-1.0B","C265321"
"~","P832","JST RT-01T-1.0B","C265321"
"~","P833","JST RT-01T-1.0B","C265321"
"~","P834","JST RT-01T-1.0B","C265321"
"~","P835","JST RT-01T-1.0B","C265321"
"~","P836","JST RT-01T-1.0B","C265321"
"~","P837","JST RT-01T-1.0B","C265321"
"~","P838","JST RT-01T-1.0B","C265321"
"~","P839","JST RT-01T-1.0B","C265321"
"~","P840","JST RT-01T-1.0B","C265321"
"~","P841","JST RT-01T-1.0B","C265321"
"~","P842","JST RT-01T-1.0B","C265321"
"~","P843","JST RT-01T-1.0B","C265321"
"~","P844","JST RT-01T-1.0B","C265321"
"~","P845","JST RT-01T-1.0B","C265321"
"~","P846","JST RT-01T-1.0B","C265321"
"~","P847","JST RT-01T-1.0B","C265321"
"~","P848","JST RT-01T-1.0B","C265321"
"~","P849","JST RT-01T-1.0B","C265321"
"~","P850","JST RT-01T-1.0B","C265321"
"~","P851","JST RT-01T-1.0B","C265321"
"~","P852","JST RT-01T-1.0B","C265321"
"~","P853","JST RT-01T-1.0B","C265321"
"~","P854","JST RT-01T-1.0B","C265321"
"~","P855","JST RT-01T-1.0B","C265321"
"~","P856","JST RT-01T-1.0B","C265321"
"~","P857","JST RT-01T-1.0B","C265321"
"~","P858","JST RT-01T-1.0B","C265321"
"~","P859","JST RT-01T-1.0B","C265321"
"~","P860","JST RT-01T-1.0B","C265321"
"~","P861","JST RT-01T-1.0B","C265321"
"~","P862","JST RT-01T-1.0B","C265321"
"~","P863","JST RT-01T-1.0B","C265321"
"~","P864","JST RT-01T-1.0B","C265321"
"~","P865","JST RT-01T-1.0B","C265321"
"~","P866","JST RT-01T-1.0B","C265321"
"~","P867","JST RT-01T-1.0B","C265321"
"~","P868","JST RT-01T-1.0B","C265321"
"~","P869","JST RT-01T-1.0B","C265321"
"~","P870","JST RT-01T-1.0B","C265321"
"~","P871","JST RT-01T-1.0B","C265321"
"~","P872","JST RT-01T-1.0B","C265321"
"~","P873","JST RT-01T-1.0B","C265321"
