Comment,Designator,Footprint,LCSC Part #
"1u","C1","C0402","C52923"
"1n","C751","C0402","C1523"
"470n","C752","C0402","C47339"
"100n","C753","C0402","C1525"
"100n","C754","C0402","C1525"
"1u","C755","C0402","C52923"
"10n","C756","C0402","C15195"
"10n","C757","C0402","C15195"
"1u","C758","C0402","C52923"
"100n","C759","C0402","C1525"
"10n","C760","C0402","C15195"
"1u","C762","C0402","C52923"
"1u","C763","C0402","C52923"
"10n","C764","C0402","C15195"
"1u","C765","C0402","C52923"
"1u","C766","C0402","C52923"
"1u","C767","C0402","C52923"
"LED-GREEN-0603","D751","LED-0603","C72043"
"Module:vr/discrete","M1","vr-discrete",""
"2.2k","R751","R0402","C25879"
"10k","R752","R_0805_2012Metric","C17414"
"10k","R753","R_0805_2012Metric","C17414"
"12k","R754","R0402","C25752"
"100k","R755","R0402","C25741"
"100k","R756","R0402","C25741"
"10k","R757","R0402","C25744"
"100k","R758","R0402","C25741"
"100k","R759","R0402","C25741"
"68k","R760","R0402","C36871"
"10","R761","R0402","C25077"
"10k","R762","R0402","C25744"
"10k","R763","R0402","C25744"
"10","R764","R0402","C25077"
"1k","R765","R0402","C11702"
"1k","R766","R0402","C11702"
"10k","R767","R0402","C25744"
"10k","R768","R0402","C25744"
"10","R769","R0402","C25077"
"74AHC1G02","U1","SOT-23-5","C7463"
"74AHC1G02","U2","SOT-23-5","C7463"
"SRV05-4-P-T7","U751","SOT-23-6","C85364"
"MCP6004","U753","TSSOP14","C50282"
"MAX9142","U754","SOIC-8_3.9x4.9mm_P1.27mm","C18567"
"NC7SB3157P6X","U755","SOT-363_SC-70-6","C87403"
"NC7SB3157P6X","U756","SOT-363_SC-70-6","C87403"
