Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C751,8.550000mm,1.400000mm,Top,-90.0,8.550000mm,1.400000mm
C752,14.805000mm,0.900000mm,Top,0.0,14.805000mm,0.900000mm
C753,13.930000mm,2.900000mm,Top,0.0,13.930000mm,2.900000mm
C754,17.450000mm,3.420000mm,Top,90.0,17.450000mm,3.420000mm
C755,2.400000mm,13.800000mm,Top,90.0,2.400000mm,13.800000mm
C756,1.050000mm,10.915000mm,Top,-90.0,1.050000mm,10.915000mm
C757,8.530000mm,8.640000mm,Top,-90.0,8.530000mm,8.640000mm
C758,8.550000mm,3.380000mm,Top,-90.0,8.550000mm,3.380000mm
C759,14.470000mm,13.900000mm,Top,180.0,14.470000mm,13.900000mm
C760,12.470000mm,11.900000mm,Top,180.0,12.470000mm,11.900000mm
C761,8.887500mm,12.350000mm,Top,0.0,8.887500mm,12.350000mm
C762,12.470000mm,12.900000mm,Top,180.0,12.470000mm,12.900000mm
C763,6.950000mm,12.375000mm,Top,180.0,6.950000mm,12.375000mm
C764,6.430000mm,10.915000mm,Top,90.0,6.430000mm,10.915000mm
C765,2.050000mm,10.915000mm,Top,90.0,2.050000mm,10.915000mm
C766,7.430000mm,10.915000mm,Top,90.0,7.430000mm,10.915000mm
C767,9.970000mm,3.860000mm,Top,180.0,9.970000mm,3.860000mm
D751,12.950000mm,15.600000mm,Top,180.0,12.950000mm,15.600000mm
M750,0.000000mm,0.000000mm,Top,0.0,0.000000mm,0.000000mm
R751,12.460000mm,13.900000mm,Top,180.0,12.460000mm,13.900000mm
R752,2.112500mm,3.300000mm,Top,0.0,2.112500mm,3.300000mm
R753,2.112500mm,1.300000mm,Top,180.0,2.112500mm,1.300000mm
R754,16.735000mm,0.900000mm,Top,180.0,16.735000mm,0.900000mm
R755,9.540000mm,2.410000mm,Top,-90.0,9.540000mm,2.410000mm
R756,10.000000mm,0.900000mm,Top,0.0,10.000000mm,0.900000mm
R757,12.900000mm,0.900000mm,Top,0.0,12.900000mm,0.900000mm
R758,17.450000mm,5.510000mm,Top,-90.0,17.450000mm,5.510000mm
R759,10.650000mm,9.810000mm,Top,-90.0,10.650000mm,9.810000mm
R760,13.960000mm,1.900000mm,Top,0.0,13.960000mm,1.900000mm
R761,12.450000mm,2.390000mm,Top,-90.0,12.450000mm,2.390000mm
R762,11.450000mm,2.400000mm,Top,90.0,11.450000mm,2.400000mm
R763,15.940000mm,3.000000mm,Top,180.0,15.940000mm,3.000000mm
R764,16.500000mm,2.000000mm,Top,0.0,16.500000mm,2.000000mm
R765,1.050000mm,12.900000mm,Top,-90.0,1.050000mm,12.900000mm
R766,8.515000mm,10.900000mm,Top,-90.0,8.515000mm,10.900000mm
R767,14.450000mm,11.900000mm,Top,0.0,14.450000mm,11.900000mm
R768,14.440000mm,12.900000mm,Top,180.0,14.440000mm,12.900000mm
R769,15.950000mm,12.410000mm,Top,90.0,15.950000mm,12.410000mm
U751,5.912500mm,2.150000mm,Top,180.0,5.912500mm,2.150000mm
U752,5.050000mm,14.650000mm,Top,180.0,5.050000mm,14.650000mm
U753,13.950000mm,7.400000mm,Top,180.0,13.950000mm,7.400000mm
U754,4.155000mm,7.100000mm,Top,270.0,4.155000mm,7.100000mm
U755,4.230000mm,11.435000mm,Top,0.0,4.230000mm,11.435000mm
U756,9.480000mm,6.010000mm,Top,90.0,9.480000mm,6.010000mm
U757,9.310000mm,14.650000mm,Top,0.0,9.310000mm,14.650000mm
