Designator,Mid X,Mid Y,Rotation,Layer
C752,-13.750000,4.850000,180.000000,bottom
C753,-13.725000,2.925000,0.000000,bottom
C755,-11.725000,8.050000,0.000000,bottom
C756,-9.590000,8.050000,0.000000,bottom
C757,-9.590000,7.100000,0.000000,bottom
C760,-4.400000,1.350000,-90.000000,bottom
C761,-1.700000,8.950000,180.000000,bottom
C762,-4.396437,3.185389,90.000000,bottom
C764,-13.545000,8.050000,180.000000,bottom
C766,-13.595000,8.980000,180.000000,bottom
R752,-2.159253,3.299000,0.000000,bottom
R753,-2.159253,1.375000,180.000000,bottom
R754,-13.650000,7.100000,180.000000,bottom
R757,-13.600000,6.150000,0.000000,bottom
R760,-13.725000,3.875000,0.000000,bottom
R761,-11.775000,7.100000,180.000000,bottom
R762,-11.700000,6.150000,180.000000,bottom
R763,-13.600000,1.075000,0.000000,bottom
R765,-9.590000,8.980000,180.000000,bottom
R766,-9.602915,6.150073,180.000000,bottom
U752,-6.600000,7.750000,180.000000,bottom
U753,-8.815717,2.900000,0.000000,bottom
U757,-2.500000,6.670784,180.000000,bottom
C751,5.575000,2.250000,-90.000000,top
C754,9.150000,1.270000,90.000000,top
C758,11.450000,1.270000,-90.000000,top
C759,9.150000,3.261593,90.000000,top
C763,1.450000,4.500000,180.000000,top
C765,5.150000,6.300000,0.000000,top
C767,11.450000,3.261593,90.000000,top
D751,2.100000,6.050000,0.000000,top
M750,0.000000,0.000000,0.000000,top
R751,1.750000,7.350000,180.000000,top
R755,6.045000,3.650000,180.000000,top
R756,6.045000,0.775000,0.000000,top
R758,6.800000,2.214215,-90.000000,top
R759,6.045000,4.650000,0.000000,top
R764,10.150000,1.270000,90.000000,top
R767,8.150000,3.261593,-90.000000,top
R768,10.150000,3.261593,90.000000,top
R769,8.150000,1.270000,90.000000,top
U751,2.331597,0.000000,top
U754,10.998030,6.950000,0.000000,top
U755,5.650000,8.250000,0.000000,top
U756,13.331100,2.109900,90.000000,top
