Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C751,6.1mm,3.950000mm,Bottom,-90.0,6.1mm,3.950000mm
R753,3.1mm,1.800000mm,Bottom,0.0,3.1mm,1.800000mm
R754,3.1mm,4.050000mm,Bottom,0.0,3.1mm,4.050000mm
U751,3.8mm,7.250000mm,Bottom,180.0,3.8mm,7.250000mm
C752,1.900000mm,8.850000mm,Top,0.0,1.900000mm,8.850000mm
C754,1.900000mm,7.450000mm,Top,0.0,1.900000mm,7.450000mm
D751,5.800000mm,7.950000mm,Top,90.0,5.800000mm,7.950000mm
M751,0.000000mm,0.000000mm,Top,0.0,0.000000mm,0.000000mm
R751,3.100000mm,1.800000mm,Top,180.0,3.100000mm,1.800000mm
R752,3.100000mm,4.050000mm,Top,180.0,3.100000mm,4.050000mm
R755,6.100000mm,3.950000mm,Top,-90.0,6.100000mm,3.950000mm
R756,1.900000mm,6.050000mm,Top,180.0,1.900000mm,6.050000mm
R757,4.200000mm,8.050000mm,Top,90.0,4.200000mm,8.050000mm
