Comment,Designator,Footprint,LCSC Part #
"1n","C751","C0603","C1588"
"100n","C752","C0603","C14663"
"22u","C754","C0603","C59461"
"GREEN","D751","LED-0603","C72043"
"BAT54S","D752","SOT-23","C408389"
"BAT54S","D753","SOT-23","C408389"
"Module:vr-max9924/0.1","M751","vr-max9924",""
"AO3401A","Q752","SOT-23","C15127"
"AO3400A","Q753","SOT-23"," C20917"
"10k","R751","R1206","C17928"
"10k","R752","R1206","C17928"
"10k","R753","R1206","C17928"
"10k","R754","R1206","C17928"
"DNP","R755","R0603",""
"10k","R756","R0603","C25804"
"10k","R757","R0603","C25804"
"10k","R758","R1206","C17928"
"10k","R759","R1206","C17928"
"10k","R760","R0603","C25804"
"10k","R761","R1206","C17928"
"10k","R762","R0603","C25804"
"10k","R763","R1206","C17928"
"MAX9924UAUB+","U751","MSOP-10_3x3mm_P0.5mm","C143633"
