Designator,Mid X,Mid Y,Layer,Rotation
M700,9.9339mm,4.0858mm,Top,0
U700,5.7750mm,2.9000mm,Top,0
R711,14.6000mm,3.0250mm,Top,360
R710,17.7500mm,3.0250mm,Top,360
R708,14.6000mm,1.2500mm,Top,360
R707,17.7500mm,1.2500mm,Top,360
R705,17.7500mm,6.6250mm,Top,360
R703,14.5750mm,4.8250mm,Top,360
R702,17.7500mm,4.8250mm,Top,360
R701,4.4250mm,6.0250mm,Top,180
R700,4.4000mm,7.2000mm,Top,180
D701,1.2500mm,2.6250mm,Top,90
D700,1.1250mm,6.2750mm,Top,90
C703,12.1750mm,2.0000mm,Top,90
C702,7.1500mm,6.0500mm,Top,360
C701,7.1250mm,7.1500mm,Top,360
C700,10.4500mm,5.2000mm,Top,90
R706,14.5750mm,6.6250mm,Top,360
