Designator,Mid X,Mid Y,Rotation,Layer
C601,-9.100000,3.700000,-90.000000,bottom
C602,-8.150000,3.700000,-90.000000,bottom
C603,-8.150000,1.500000,90.000000,bottom
C604,-7.200000,3.700000,-90.000000,bottom
C605,-21.025000,2.041668,0.000000,bottom
C606,-7.200000,1.500000,-90.000000,bottom
C607,-24.700000,5.925000,0.000000,bottom
C608,-7.425000,12.175000,180.000000,bottom
C617,-1.600000,9.524628,-90.000000,bottom
C618,-4.024936,3.925000,0.000000,bottom
D604,-3.625000,1.750000,0.000000,bottom
R602,-15.925000,6.800000,180.000000,bottom
R603,-15.150000,8.800000,0.000000,bottom
R604,-9.100000,1.500000,90.000000,bottom
R605,-15.125000,7.800000,180.000000,bottom
R606,-23.725000,7.075000,180.000000,bottom
R607,-21.025000,0.975000,180.000000,bottom
R608,-17.025000,7.800000,0.000000,bottom
R609,-10.025000,12.150000,180.000000,bottom
R610,-19.100000,4.550000,180.000000,bottom
R611,-21.025000,4.550000,180.000000,bottom
R612,-21.025000,3.283334,0.000000,bottom
R613,-11.000000,10.450000,90.000000,bottom
R614,-7.420709,11.225000,0.000000,bottom
R615,-9.475000,10.750000,0.000000,bottom
R616,-24.675000,10.725000,180.000000,bottom
R618,-12.400000,8.800000,180.000000,bottom
R619,-13.225000,7.800000,180.000000,bottom
R620,-13.225000,6.800000,0.000000,bottom
R621,-1.600000,11.725000,-90.000000,bottom
R622,-22.725000,10.725000,0.000000,bottom
R623,-11.350000,6.800000,180.000000,bottom
R624,-7.425000,13.125000,0.000000,bottom
R629,-1.610000,7.513652,90.000000,bottom
U600,-13.650000,3.250000,0.000000,bottom
U601,12.175000,180.000000,bottom
U605,-5.800000,7.449628,180.000000,bottom
C600,15.887500,1.875000,-90.000000,top
C609,7.575000,3.300000,-90.000000,top
C610,2.177000,9.850000,0.000000,top
C611,17.000000,7.950000,-90.000000,top
C612,17.000000,9.850000,90.000000,top
C613,3.075000,5.325000,0.000000,top
C614,17.000000,5.825000,90.000000,top
C615,6.900000,12.625000,90.000000,top
C616,5.225000,7.787500,-90.000000,top
D600,25.600000,2.725000,90.000000,top
D601,12.825000,1.400000,180.000000,top
D602,9.850000,1.400000,0.000000,top
D603,5.317550,12.230000,-90.000000,top
M600,0.000000,0.000000,0.000000,top
Q600,21.160000,5.950000,-90.000000,top
Q601,21.250000,12.625000,180.000000,top
R600,16.950000,3.775000,-90.000000,top
R601,16.950000,1.875000,-90.000000,top
R617,15.700000,12.625000,90.000000,top
R625,5.050000,5.300000,0.000000,top
R626,14.825000,1.875000,-90.000000,top
R627,7.700000,1.425000,-90.000000,top
R628,4.825000,9.850000,180.000000,top
U602,11.350000,8.100000,180.000000,top
U603,2.725000,12.100000,90.000000,top
U604,2.775000,7.625000,180.000000,top
