Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C601,-9.05mm,3.650000mm,Bottom,90.0,-9.05mm,3.650000mm
C602,-8.1mm,3.650000mm,Bottom,90.0,-8.1mm,3.650000mm
C603,-8.1mm,1.450000mm,Bottom,90.0,-8.1mm,1.450000mm
C604,-7.15mm,3.650000mm,Bottom,90.0,-7.15mm,3.650000mm
C605,-20.975mm,1.991668mm,Bottom,0.0,-20.975mm,1.991668mm
C606,-7.15mm,1.450000mm,Bottom,-90.0,-7.15mm,1.450000mm
C607,-20.775mm,9.450000mm,Bottom,180.0,-20.775mm,9.450000mm
C608,-7.375mm,12.125000mm,Bottom,180.0,-7.375mm,12.125000mm
C617,-1.55mm,9.474628mm,Bottom,-90.0,-1.55mm,9.474628mm
C618,-3.974936mm,3.875000mm,Bottom,0.0,-3.974936mm,3.875000mm
D604,-3.575mm,1.700000mm,Bottom,180.0,-3.575mm,1.700000mm
R602,-15.875mm,6.750000mm,Bottom,180.0,-15.875mm,6.750000mm
R603,-15.1mm,8.750000mm,Bottom,0.0,-15.1mm,8.750000mm
R604,-9.05mm,1.450000mm,Bottom,90.0,-9.05mm,1.450000mm
R605,-15.075mm,7.750000mm,Bottom,180.0,-15.075mm,7.750000mm
R606,-20.775mm,8.175000mm,Bottom,180.0,-20.775mm,8.175000mm
R607,-20.975mm,0.925000mm,Bottom,180.0,-20.975mm,0.925000mm
R608,-16.975mm,7.750000mm,Bottom,0.0,-16.975mm,7.750000mm
R609,-9.975mm,12.100000mm,Bottom,180.0,-9.975mm,12.100000mm
R610,-19.05mm,4.500000mm,Bottom,180.0,-19.05mm,4.500000mm
R611,-20.975mm,4.500000mm,Bottom,180.0,-20.975mm,4.500000mm
R612,-20.975mm,3.233334mm,Bottom,0.0,-20.975mm,3.233334mm
R613,-10.95mm,10.400000mm,Bottom,90.0,-10.95mm,10.400000mm
R614,-7.370709mm,11.175000mm,Bottom,0.0,-7.370709mm,11.175000mm
R615,-9.425mm,10.700000mm,Bottom,0.0,-9.425mm,10.700000mm
R618,-12.35mm,8.750000mm,Bottom,180.0,-12.35mm,8.750000mm
R619,-13.175mm,7.750000mm,Bottom,180.0,-13.175mm,7.750000mm
R620,-13.175mm,6.750000mm,Bottom,0.0,-13.175mm,6.750000mm
R621,-1.55mm,11.610000mm,Bottom,-90.0,-1.55mm,11.610000mm
R623,-11.3mm,6.750000mm,Bottom,180.0,-11.3mm,6.750000mm
R624,-7.375mm,13.075000mm,Bottom,0.0,-7.375mm,13.075000mm
R629,-1.56mm,7.463652mm,Bottom,90.0,-1.56mm,7.463652mm
R630,-16.39mm,10.190000mm,Bottom,180.0,-16.39mm,10.190000mm
U600,-13.6mm,3.200000mm,Bottom,270.0,-13.6mm,3.200000mm
U601,-4.25mm,12.125000mm,Bottom,0.0,-4.25mm,12.125000mm
U605,-5.75mm,7.399628mm,Bottom,180.0,-5.75mm,7.399628mm
C600,15.837500mm,1.825000mm,Top,-90.0,15.837500mm,1.825000mm
C609,7.525000mm,3.250000mm,Top,-90.0,7.525000mm,3.250000mm
C610,2.127000mm,9.800000mm,Top,0.0,2.127000mm,9.800000mm
C611,16.950000mm,9.800000mm,Top,90.0,16.950000mm,9.800000mm
C612,16.950000mm,7.900000mm,Top,-90.0,16.950000mm,7.900000mm
C613,3.025000mm,5.275000mm,Top,0.0,3.025000mm,5.275000mm
C614,16.950000mm,5.775000mm,Top,90.0,16.950000mm,5.775000mm
C615,6.850000mm,12.575000mm,Top,90.0,6.850000mm,12.575000mm
C616,5.175000mm,7.737500mm,Top,-90.0,5.175000mm,7.737500mm
D600,18.450000mm,12.700000mm,Top,0.0,18.450000mm,12.700000mm
D601,12.775000mm,1.350000mm,Top,180.0,12.775000mm,1.350000mm
D602,9.800000mm,1.350000mm,Top,0.0,9.800000mm,1.350000mm
D603,5.267550mm,12.180000mm,Top,-90.0,5.267550mm,12.180000mm
M1,0.000000mm,0.000000mm,Top,0.0,0.000000mm,0.000000mm
Q600,21.123163mm,6.937213mm,Top,90.0,21.123163mm,6.937213mm
R600,16.900000mm,3.725000mm,Top,-90.0,16.900000mm,3.725000mm
R601,16.900000mm,1.825000mm,Top,-90.0,16.900000mm,1.825000mm
R616,21.035000mm,12.700000mm,Top,0.0,21.035000mm,12.700000mm
R617,15.650000mm,12.575000mm,Top,90.0,15.650000mm,12.575000mm
R622,22.985000mm,12.700000mm,Top,180.0,22.985000mm,12.700000mm
R625,5.000000mm,5.250000mm,Top,0.0,5.000000mm,5.250000mm
R626,14.775000mm,1.825000mm,Top,-90.0,14.775000mm,1.825000mm
R627,7.650000mm,1.375000mm,Top,-90.0,7.650000mm,1.375000mm
R628,4.775000mm,9.800000mm,Top,180.0,4.775000mm,9.800000mm
U602,11.300000mm,8.050000mm,Top,90.0,11.300000mm,8.050000mm
U603,2.675000mm,12.050000mm,Top,270.0,2.675000mm,12.050000mm
U604,2.725000mm,7.575000mm,Top,0.0,2.725000mm,7.575000mm
